genotype,datelist,animal,variable,fram,lens
Sd,20160825c1v2,4,V66,2971,72
Sd,20160825c1v2,4,V67,2995,22
Sd,20160825c1v2,4,V68,3083,86
Sd,20160825c1v2,4,V69,3142,52
Sd,20160825c1v2,4,V70,3169,25
Sd,20160825c1v2,4,V71,3179,7
Sd,20160825c1v2,4,V72,3263,81
Sd,20160825c1v2,4,V73,3300,35
Sd,20160825c1v2,4,V74,3312,10
Sd,20160825c1v2,4,V75,3337,22
Sd,20160825c1v2,4,V76,3358,13
Sd,20160825c1v2,4,V77,3390,30
Sd,20160825c1v2,4,V78,3397,5
Sd,20160825c1v2,4,V80,3425,10
Sd,20160825c1v2,4,V81,3441,9
Sd,20160825c1v2,4,V82,3457,9
Sd,20160825c1v2,4,V88,3553,40
Sd,20160825c1v2,4,V91,3571,9
Sd,20160825c1v2,4,V93,3590,11
Sd,20160825c1v2,4,V95,3682,87
Sd,20160825c1v2,4,V98,3704,13
Sd,20160825c1v2,4,V100,3719,10
Sd,20160825c1v2,4,V102,3748,23
Sd,20160825c1v2,4,V103,3766,12
Sd,20160825c1v2,4,V104,3782,14
Sd,20160825c1v2,4,V105,3796,8
Sd,20160825c1v2,4,V106,3808,10
Sd,20160825c1v2,4,V107,3824,13
Sd,20160825c1v2,4,V110,3877,34
Sd,20160825c1v2,4,V111,3893,12
Sd,20160825c1v2,4,V112,3929,33
Sd,20160825c1v2,4,V117,3997,32
Sd,20160825c1v2,4,V118,4007,7
Sd,20160825c1v2,4,V121,4034,12
Sd,20160825c1v2,4,V123,4059,8
Sd,20160825c1v2,4,V124,4066,5
Sd,20160825c1v2,4,V127,4109,15
Sd,20160825c1v2,4,V129,4146,8
Sd,20160825c1v2,4,V130,4193,43
Sd,20160825c1v2,4,V131,4221,24
Sd,20160825c1v2,4,V132,4278,42
Sd,20160825c1v2,4,V133,4289,7
Sd,20160825c1v2,4,V137,4329,13
Sd,20160825c1v2,4,V138,4356,25
Sd,20160825c1v2,4,V139,4392,34
Sd,20160825c1v2,4,V140,4419,24
Sd,20160825c1v2,4,V141,4484,63
Sd,20160825c1v2,4,V143,4503,12
Sd,20160825c1v2,4,V144,4538,20
Sd,20160825c1v2,4,V146,4589,39
Sd,20160825c1v2,4,V147,4610,19
Sd,20160825c1v2,4,V148,4626,7
Sd,20160825c1v2,4,V149,4663,26
Sd,20160825c1v2,4,V151,4738,57
Sd,20160825c1v2,4,V153,4807,63
Sd,20160825c1v2,4,V157,4879,11
Sd,20160825c1v2,4,V159,4903,15
Sd,20160825c1v2,4,V164,5024,5
Sd,20160825c1v2,4,V168,5173,7
Sd,20160825c1v2,4,V169,5194,18
Sd,20160825c1v2,4,V172,5256,36
Sd,20160825c1v2,4,V173,5292,32
Sd,20160825c1v2,4,V174,5315,12
Sd,20160825c1v2,4,V178,5370,6
Sd,20160825c1v2,4,V179,5378,6
Sd,20160825c1v2,4,V185,5425,22
Sd,20160825c1v2,4,V187,5453,6
Sd,20160825c1v2,4,V189,5482,5
Sd,20160825c1v2,4,V190,5504,19
Sd,20160825c1v2,4,V191,5591,85
Sd,20160825c1v2,4,V193,5612,10
Sd,20160825c1v2,4,V194,5630,6
Sd,20160825c1v2,4,V195,5645,13
Sd,20160825c1v2,4,V197,5669,18
Sd,20160825c1v2,4,V198,5697,26
Sd,20160825c1v2,4,V199,5745,46
Sd,20160825c1v2,4,V201,5763,8
Sd,20160825c1v2,4,V202,5773,8
Sd,20160825c1v2,4,V203,5784,9
Sd,20160825c1v2,4,V204,5794,7
Sd,20160825c1v2,4,V205,5802,6
Sd,20160825c1v2,4,V208,5821,5
Sd,20160825c1v2,4,V210,5837,8
Sd,20160825c1v2,4,V212,5857,13
Sd,20160825c1v2,4,V213,5866,7
Sd,20160825c1v2,4,V214,5875,7
Sd,20160825c1v2,4,V215,5894,17
Sd,20160825c1v2,4,V216,5924,28
Sd,20160825c1v2,4,V218,5960,27
Sd,20160825c1v2,4,V219,5977,9
Sd,20160825c1v2,4,V220,5986,7
Sd,20160825c1v2,4,V221,6018,27
Sd,20160825c1v2,4,V225,6066,27
Sd,20160825c1v2,4,V226,6079,11
Sd,20160825c1v2,4,V228,6099,15
Sd,20160825c1v2,4,V229,6113,11
Sd,20160825c1v2,4,V230,6123,8
Sd,20160825c1v2,4,V231,6163,38
Sd,20160825c1v2,4,V232,10569,4402
Sd,20160825c1v2,4,V235,10798,16
Sd,20160825c1v2,5,V28,5516,5
Sd,20160825c1v2,5,V31,6097,6
Sd,20160825c1v2,5,V41,6503,5
Sd,20160825c1v2,5,V50,7787,10
Sd,20160825c1v2,5,V55,7904,5
Sd,20160825c1v2,5,V57,7929,7
Sd,20160825c1v2,5,V59,7985,9
Sd,20160825c1v2,5,V61,7995,5
Sd,20160825c1v2,5,V64,8159,7
Sd,20160825c1v2,5,V65,8171,9
Sd,20160825c1v2,5,V69,8211,15
Sd,20160825c1v2,5,V73,8244,5
Sd,20160825c1v2,5,V74,8254,8
Sd,20160825c1v2,5,V76,8273,13
Sd,20160825c1v2,5,V77,8293,11
Sd,20160825c1v2,5,V78,8304,7
Sd,20160825c1v2,5,V79,8318,11
Sd,20160825c1v2,5,V80,8328,8
Sd,20160825c1v2,5,V88,8374,5
Sd,20160825c1v2,5,V94,8409,5
Sd,20160825c1v2,5,V101,8471,8
Sd,20160825c1v2,5,V103,8495,9
Sd,20160825c1v2,5,V108,8533,7
Sd,20160825c1v2,5,V110,8551,9
Sd,20160825c1v2,5,V112,8576,14
Sd,20160825c1v2,5,V115,8598,6
Sd,20160825c1v2,5,V116,8611,6
Sd,20160825c1v2,5,V118,8628,7
Sd,20160825c1v2,5,V120,8647,7
Sd,20160825c1v2,5,V122,8673,21
Sd,20160825c1v2,5,V130,8762,5
Sd,20160825c1v2,5,V138,8835,9
Sd,20160825c1v2,5,V141,8852,6
Sd,20160825c1v2,5,V149,8915,5
Sd,20160825c1v2,5,V150,8924,5
Sd,20160825c1v2,5,V160,9061,5
Sd,20160825c1v2,5,V165,9109,7
Sd,20160825c1v2,5,V168,9148,7
Sd,20160825c1v2,5,V172,9173,8
Sd,20160825c1v2,5,V174,9188,7
Sd,20160825c1v2,5,V178,9241,16
Sd,20160825c1v2,5,V179,10798,1551
Sd,20160825c1v2,6,V1,839,8
Sd,20160825c1v2,6,V2,851,6
Sd,20160825c1v2,6,V8,1629,11
Sd,20160825c1v2,6,V9,1744,9
Sd,20160825c1v2,6,V10,1753,7
Sd,20160825c1v2,6,V13,1839,14
Sd,20160825c1v2,6,V14,1865,15
Sd,20160825c1v2,6,V17,1950,6
Sd,20160825c1v2,6,V20,2023,9
Sd,20160825c1v2,6,V37,3319,7
Sd,20160825c1v2,6,V40,3441,18
Sd,20160825c1v2,6,V45,3475,9
Sd,20160825c1v2,6,V46,3487,10
Sd,20160825c1v2,6,V49,3609,14
Sd,20160825c1v2,6,V54,3662,7
Sd,20160825c1v2,6,V56,3735,5
Sd,20160825c1v2,6,V64,3898,5
Sd,20160825c1v2,6,V65,3985,5
Sd,20160825c1v2,6,V67,4065,8
Sd,20160825c1v2,6,V70,4085,11
Sd,20160825c1v2,6,V73,4184,85
Sd,20160825c1v2,6,V74,4213,7
Sd,20160825c1v2,6,V75,4229,9
Sd,20160825c1v2,6,V76,4255,24
Sd,20160825c1v2,6,V78,4283,13
